filepath,elev,wsun,kappa,beta,t,wsky,theta,phi,fov
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000000.png,-0.4036,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,159.45,49.9562,22.1027
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000001.png,-5.5684,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,142.45,55.121,25.1303
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000002.png,4.7965,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,141.45,44.7561,22.5915
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000003.png,1.3843,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,101.45,48.1683,39.6337
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000004.png,7.9313,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,81.45,41.6213,35.5594
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000005.png,1.6928,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,78.45,47.8598,39.0618
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000006.png,-4.0113,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,75.45,53.5639,44.4328
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000007.png,-2.2069,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,71.45,51.7595,40.4168
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000008.png,4.9759,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,57.45,44.5767,29.7826
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000009.png,-1.1142,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,45.45,50.6668,29.5313
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000010.png,-0.3928,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,35.45,49.9454,23.0971
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000011.png,0.2847,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,24.45,49.2679,34.9561
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000012.png,3.905,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,13.45,45.6476,34.7009
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000013.png,4.403,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,-12.55,45.1496,26.7807
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000014.png,4.2961,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,-18.55,45.2565,32.1259
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000015.png,4.9584,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,-22.55,44.5942,21.4534
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000016.png,-6.2749,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,-44.55,55.8275,42.3176
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000017.png,3.6131,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,-60.55,45.9395,44.1526
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000018.png,10.252,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,-90.55,39.3006,23.2859
dataset_converted/KITTI/2011_09_26/2011_09_26_drive_0001_sync/image_02/data/0000000019.png,-2.0269,0.03988 0.04611 0.05667,0.87301,1.49349,22.71068,0.47624 0.50295 0.53426,-107.55,51.5795,36.9347
